Segundos(s),Canal 1(V),Canal 2(V)
-25.00000E-03,+2.30920228E+00,+1.61667712E+00
-24.97500E-03,+2.12684518E+00,+1.61569565E+00
-24.95000E-03,+1.96215454E+00,+1.63654207E+00
-24.92500E-03,+1.76546798E+00,+1.60701946E+00
-24.90000E-03,+1.59076634E+00,+1.61259420E+00
-24.87500E-03,+1.41763506E+00,+1.64282347E+00
-24.85000E-03,+1.23861496E+00,+1.59053076E+00
-24.82500E-03,+1.06921326E+00,+1.67081499E+00
-24.80000E-03,+883.32287E-03,+1.60788315E+00
-24.77500E-03,+711.76194E-03,+1.62017115E+00
-24.75000E-03,+531.56407E-03,+1.62923993E+00
-24.72500E-03,+356.07726E-03,+1.63312655E+00
-24.70000E-03,+175.09422E-03,+1.63128139E+00
-24.67500E-03,-0.0E+00,+1.63567837E+00
-24.65000E-03,-171.16834E-03,+1.60819722E+00
-24.62500E-03,-349.20698E-03,+1.68620444E+00
-24.60000E-03,-539.41583E-03,+1.56328516E+00
-24.57500E-03,-704.10648E-03,+1.67372015E+00
-24.55000E-03,-894.70792E-03,+1.61856154E+00
-24.52500E-03,-1.08275755E+00,+1.63846575E+00
-24.50000E-03,-1.25549624E+00,+1.64494345E+00
-24.47500E-03,-1.45002357E+00,+1.63418654E+00
-24.45000E-03,-1.64298054E+00,+1.62649182E+00
-24.42500E-03,-1.81238224E+00,+1.66260991E+00
-24.40000E-03,-2.01240579E+00,+1.59814697E+00
-24.37500E-03,-2.18985554E+00,+1.66590765E+00
-24.35000E-03,-2.36848306E+00,+1.61173051E+00
-24.32500E-03,-2.54495134E+00,+1.64824119E+00
-24.30000E-03,-2.73476761E+00,+1.62201631E+00
-24.27500E-03,-2.91594694E+00,+1.63528579E+00
-24.25000E-03,-3.11440015E+00,+1.63402951E+00
-24.22500E-03,-3.30755342E+00,+1.60980683E+00
-24.20000E-03,-3.49795857E+00,+1.66001883E+00
-24.17500E-03,-3.67737126E+00,+1.63799464E+00
-24.15000E-03,-3.86816900E+00,+1.59681217E+00
-24.12500E-03,-4.04071140E+00,+1.65381594E+00
-24.10000E-03,-4.23209802E+00,+1.62201631E+00
-24.07500E-03,-4.41798841E+00,+1.61416456E+00
-24.05000E-03,-4.59759740E+00,+1.65420852E+00
-24.02500E-03,-4.79663948E+00,+1.60054175E+00
-24.00000E-03,-4.98822240E+00,+1.67478013E+00
-23.97500E-03,-5.18294602E+00,+1.58228642E+00
-23.95000E-03,-5.36981788E+00,+1.64612121E+00
-23.92500E-03,-5.55688604E+00,+1.60988535E+00
-23.90000E-03,-5.74042090E+00,+1.64038943E+00
-23.87500E-03,-5.93691116E+00,+1.60301506E+00
-23.85000E-03,-6.11259427E+00,+1.65766330E+00
-23.82500E-03,-6.29907354E+00,+1.58232567E+00
-23.80000E-03,-6.47848623E+00,+1.65593591E+00
-23.77500E-03,-6.66849880E+00,+1.60572391E+00
-23.75000E-03,-6.84045231E+00,+1.63481468E+00
-23.72500E-03,-7.02614641E+00,+1.61659860E+00
-23.70000E-03,-7.21184051E+00,+1.61997486E+00
-23.67500E-03,-7.39812349E+00,+1.61463566E+00
-23.65000E-03,-7.57576953E+00,+1.65522925E+00
-23.62500E-03,-7.77225980E+00,+1.56253924E+00
-23.60000E-03,-7.95304654E+00,+1.68263189E+00
-23.57500E-03,-8.14678869E+00,+1.57647611E+00
-23.55000E-03,-8.33032356E+00,+1.63826945E+00
-23.52500E-03,-8.51287695E+00,+1.61074904E+00
-23.50000E-03,-8.70053399E+00,+1.62013189E+00
-23.47500E-03,-8.88014297E+00,+1.61279050E+00
-23.45000E-03,-9.05661125E+00,+1.61251569E+00
-23.42500E-03,-9.24053870E+00,+1.63033918E+00
-23.40000E-03,-9.43074756E+00,+1.62013189E+00
-23.37500E-03,-9.62566747E+00,+1.57313912E+00
-23.35000E-03,-9.80174317E+00,+1.63167398E+00
-23.32500E-03,-9.98861503E+00,+1.58715451E+00
-23.30000E-03,-10.16567219E+00,+1.61070978E+00
-23.27500E-03,-10.34449600E+00,+1.60961054E+00
-23.25000E-03,-10.52763827E+00,+1.57325689E+00
-23.22500E-03,-10.70018067E+00,+1.62617775E+00
-23.20000E-03,-10.88175260E+00,+1.58024496E+00
-23.17500E-03,-11.09119827E+00,+1.59787216E+00
-23.15000E-03,-11.27355536E+00,+1.59516330E+00
-23.12500E-03,-11.46454940E+00,+1.58409232E+00
-23.10000E-03,-11.65358049E+00,+1.57883164E+00
-23.07500E-03,-11.82553401E+00,+1.58951003E+00
-23.05000E-03,-12.01672434E+00,+1.56823177E+00
-23.02500E-03,-12.18848157E+00,+1.58483824E+00
-23.00000E-03,-12.37044608E+00,+1.52873742E+00
-22.97500E-03,-12.54455883E+00,+1.61298679E+00
-22.95000E-03,-12.73908615E+00,+1.52017900E+00
-22.92500E-03,-12.90907673E+00,+1.56815325E+00
-22.90000E-03,-13.08966719E+00,+1.54271355E+00
-22.87500E-03,-13.27241688E+00,+1.55233196E+00
-22.85000E-03,-13.45595174E+00,+1.50910802E+00
-22.82500E-03,-13.62005350E+00,+1.57101914E+00
-22.80000E-03,-13.79318478E+00,+1.47157662E+00
-22.77500E-03,-13.95100513E+00,+1.53384106E+00
-22.75000E-03,-14.11903277E+00,+1.48547423E+00
-22.72500E-03,-14.28588265E+00,+1.48759421E+00
-22.70000E-03,-14.44880665E+00,+1.47204772E+00
-22.67500E-03,-14.61703058E+00,+1.44503767E+00
-22.65000E-03,-14.78525451E+00,+1.43985551E+00
-22.62500E-03,-14.95347845E+00,+1.44209326E+00
-22.60000E-03,-15.12641343E+00,+1.35065953E+00
-22.57500E-03,-15.28285973E+00,+1.37464666E+00
-22.55000E-03,-15.43459497E+00,+1.32160803E+00
-22.52500E-03,-15.58652650E+00,+1.28886619E+00
-22.50000E-03,-15.73021369E+00,+1.25549622E+00
-22.47500E-03,-15.87704158E+00,+1.17650753E+00
-22.45000E-03,-16.00738078E+00,+1.16056845E+00
-22.42500E-03,-16.13084969E+00,+1.03317367E+00
-22.40000E-03,-16.25078530E+00,+981.62687E-03
-22.37500E-03,-16.34853970E+00,+893.84421E-03
-22.35000E-03,-16.45021998E+00,+727.07286E-03
-22.32500E-03,-16.52579316E+00,+688.08887E-03
-22.30000E-03,-16.58605541E+00,+536.27512E-03
-22.27500E-03,-16.64356954E+00,+391.60647E-03
-22.25000E-03,-16.68577274E+00,+276.85301E-03
-22.22500E-03,-16.70756137E+00,+110.67054E-03
-22.20000E-03,-16.71560943E+00,+139.60427E-03
-22.17500E-03,-16.73209812E+00,-116.87343E-03
-22.15000E-03,-16.70932802E+00,-125.31407E-03
-22.12500E-03,-16.68596904E+00,-250.31407E-03
-22.10000E-03,-16.65279536E+00,-345.79145E-03
-22.07500E-03,-16.60352557E+00,-431.33636E-03
-22.05000E-03,-16.55150767E+00,-525.28266E-03
-22.02500E-03,-16.49968606E+00,-634.34359E-03
-22.00000E-03,-16.40939083E+00,-643.68718E-03
-21.97500E-03,-16.33205101E+00,-788.74842E-03
-21.95000E-03,-16.24293354E+00,-798.52386E-03
-21.92500E-03,-16.14576803E+00,-911.51067E-03
-21.90000E-03,-16.04428405E+00,-953.51758E-03
-21.87500E-03,-15.93769642E+00,-1.01374057E+00
-21.85000E-03,-15.80441281E+00,-1.05221418E+00
-21.82500E-03,-15.68310314E+00,-1.14301977E+00
-21.80000E-03,-15.54883806E+00,-1.12861180E+00
-21.77500E-03,-15.41025452E+00,-1.19597989E+00
-21.75000E-03,-15.27206356E+00,-1.23249056E+00
-21.72500E-03,-15.13328372E+00,-1.27076789E+00
-21.70000E-03,-14.97801519E+00,-1.29522612E+00
-21.67500E-03,-14.82510219E+00,-1.30755338E+00
-21.65000E-03,-14.67336695E+00,-1.37947549E+00
-21.62500E-03,-14.50808743E+00,-1.33146198E+00
-21.60000E-03,-14.35694107E+00,-1.42320978E+00
-21.57500E-03,-14.19107266E+00,-1.41021512E+00
-21.55000E-03,-14.03580413E+00,-1.42211054E+00
-21.52500E-03,-13.87739489E+00,-1.44845319E+00
-21.50000E-03,-13.71859307E+00,-1.45838566E+00
-21.47500E-03,-13.56136160E+00,-1.47271512E+00
-21.45000E-03,-13.39078214E+00,-1.51923679E+00
-21.42500E-03,-13.20606951E+00,-1.43852071E+00
-21.40000E-03,-13.03627523E+00,-1.55637561E+00
-21.37500E-03,-12.86412541E+00,-1.52791299E+00
-21.35000E-03,-12.68216090E+00,-1.51264132E+00
-21.32500E-03,-12.50687039E+00,-1.54263503E+00
-21.30000E-03,-12.32961693E+00,-1.54915199E+00
-21.27500E-03,-12.14804501E+00,-1.54636462E+00
-21.25000E-03,-11.98453213E+00,-1.57993089E+00
-21.22500E-03,-11.79098627E+00,-1.55048679E+00
-21.20000E-03,-11.61353652E+00,-1.60599873E+00
-21.17500E-03,-11.42587949E+00,-1.51389760E+00
-21.15000E-03,-11.24489644E+00,-1.63143842E+00
-21.12500E-03,-11.03957295E+00,-1.56242147E+00
-21.10000E-03,-10.85662697E+00,-1.59704772E+00
-21.07500E-03,-10.67211064E+00,-1.59351443E+00
-21.05000E-03,-10.49112759E+00,-1.58519157E+00
-21.02500E-03,-10.32251107E+00,-1.63559986E+00
-21.00000E-03,-10.13583551E+00,-1.56579772E+00
-20.97500E-03,-9.94857106E+00,-1.59575218E+00
-20.95000E-03,-9.77818789E+00,-1.63347988E+00
-20.92500E-03,-9.58856791E+00,-1.60140545E+00
-20.90000E-03,-9.40091088E+00,-1.61228013E+00
-20.87500E-03,-9.21364643E+00,-1.61765859E+00
-20.85000E-03,-9.02441904E+00,-1.60858981E+00
-20.82500E-03,-8.83872494E+00,-1.62060300E+00
-20.80000E-03,-8.67226766E+00,-1.61918968E+00
-20.77500E-03,-8.47675886E+00,-1.64038943E+00
-20.75000E-03,-8.29263512E+00,-1.60309358E+00
-20.72500E-03,-8.10929655E+00,-1.63430432E+00
-20.70000E-03,-7.91300257E+00,-1.61620601E+00
-20.67500E-03,-7.73044918E+00,-1.64498271E+00
-20.65000E-03,-7.54514767E+00,-1.60505652E+00
-20.62500E-03,-7.35376105E+00,-1.62692366E+00
-20.60000E-03,-7.17258171E+00,-1.66284546E+00
-20.57500E-03,-6.98296174E+00,-1.62806217E+00
-20.55000E-03,-6.79569729E+00,-1.62609923E+00
-20.52500E-03,-6.61314390E+00,-1.63952574E+00
-20.50000E-03,-6.43216085E+00,-1.63222360E+00
-20.47500E-03,-6.24941117E+00,-1.64003610E+00
-20.45000E-03,-6.06195042E+00,-1.61989634E+00
-20.42500E-03,-5.88410809E+00,-1.65848773E+00
-20.40000E-03,-5.68702894E+00,-1.59280777E+00
-20.37500E-03,-5.50035337E+00,-1.67293497E+00
-20.35000E-03,-5.30975193E+00,-1.62476443E+00
-20.32500E-03,-5.11934677E+00,-1.62727699E+00
-20.30000E-03,-4.93090456E+00,-1.63819094E+00
-20.27500E-03,-4.73951794E+00,-1.63194879E+00
-20.25000E-03,-4.54263509E+00,-1.65373742E+00
-20.22500E-03,-4.36282981E+00,-1.66162844E+00
-20.20000E-03,-4.15593596E+00,-1.58464194E+00
-20.17500E-03,-3.98516021E+00,-1.67081499E+00
-20.15000E-03,-3.79475505E+00,-1.61604898E+00
-20.12500E-03,-3.61200537E+00,-1.63862278E+00
-20.10000E-03,-3.42964827E+00,-1.64384420E+00
-20.07500E-03,-3.23080248E+00,-1.63622800E+00
-20.05000E-03,-3.03548997E+00,-1.62711996E+00
-20.02500E-03,-2.84645888E+00,-1.63450061E+00
-20.00000E-03,-2.65939072E+00,-1.66975501E+00
-19.97500E-03,-2.47055592E+00,-1.61632379E+00
-19.95000E-03,-2.29075065E+00,-1.62892586E+00
-19.92500E-03,-2.10898243E+00,-1.65271669E+00
-19.90000E-03,-1.93231785E+00,-1.62939697E+00
-19.87500E-03,-1.74642746E+00,-1.63579615E+00
-19.85000E-03,-1.55975190E+00,-1.64086054E+00
-19.82500E-03,-1.36385051E+00,-1.60800092E+00
-19.80000E-03,-1.19739323E+00,-1.68577260E+00
-19.77500E-03,-997.17337E-03,-1.61864006E+00
-19.75000E-03,-822.07915E-03,-1.64722046E+00
-19.72500E-03,-645.80717E-03,-1.63960425E+00
-19.70000E-03,-454.61684E-03,-1.64431531E+00
-19.67500E-03,-273.63380E-03,-1.62229113E+00
-19.65000E-03,-98.53957E-03,-1.67580086E+00
-19.62500E-03,+75.57318E-03,-1.62511776E+00
-19.60000E-03,+261.46357E-03,-1.61385049E+00
-19.57500E-03,+424.19127E-03,-1.68349558E+00
-19.55000E-03,+612.82978E-03,-1.62751255E+00
-19.52500E-03,+796.16835E-03,-1.63548208E+00
-19.50000E-03,+971.26257E-03,-1.64321606E+00
-19.47500E-03,+1.15185302E+00,-1.63905463E+00
-19.45000E-03,+1.32576948E+00,-1.64761305E+00
-19.42500E-03,+1.51067840E+00,-1.61467492E+00
-19.40000E-03,+1.68891333E+00,-1.67854898E+00
-19.37500E-03,+1.87814072E+00,-1.59308258E+00
-19.35000E-03,+2.04656095E+00,-1.65389445E+00
-19.32500E-03,+2.23971421E+00,-1.62201631E+00
-19.30000E-03,+2.43090454E+00,-1.62123114E+00
-19.27500E-03,+2.61463570E+00,-1.64101757E+00
-19.25000E-03,+2.80425568E+00,-1.62288001E+00
-19.22500E-03,+2.99642747E+00,-1.61404678E+00
-19.20000E-03,+3.18231786E+00,-1.62390074E+00
-19.17500E-03,+3.36349720E+00,-1.63736650E+00
-19.15000E-03,+3.56116523E+00,-1.61000312E+00
-19.12500E-03,+3.73056693E+00,-1.62590293E+00
-19.10000E-03,+3.92195355E+00,-1.62248742E+00
-19.07500E-03,+4.11628458E+00,-1.60741204E+00
-19.05000E-03,+4.30433420E+00,-1.63732724E+00
-19.02500E-03,+4.49729118E+00,-1.61840451E+00
-19.00000E-03,+4.69456662E+00,-1.59186556E+00
-18.97500E-03,+4.86750161E+00,-1.63375469E+00
-18.95000E-03,+5.05378459E+00,-1.62225187E+00
-18.92500E-03,+5.25164891E+00,-1.59920696E+00
-18.90000E-03,+5.42870607E+00,-1.61918968E+00
-18.87500E-03,+5.61498905E+00,-1.61797266E+00
-18.85000E-03,+5.80951638E+00,-1.58566267E+00
-18.82500E-03,+5.97185149E+00,-1.65016487E+00
-18.80000E-03,+6.17383799E+00,-1.56077260E+00
-18.77500E-03,+6.35953208E+00,-1.60894314E+00
-18.75000E-03,+6.55190018E+00,-1.60175878E+00
-18.72500E-03,+6.74721268E+00,-1.61188755E+00
-18.70000E-03,+6.92760684E+00,-1.59500626E+00
-18.67500E-03,+7.10171959E+00,-1.61341864E+00
-18.65000E-03,+7.28329151E+00,-1.56477699E+00
-18.62500E-03,+7.44994510E+00,-1.62586368E+00
-18.60000E-03,+7.63112443E+00,-1.59406405E+00
-18.57500E-03,+7.81878147E+00,-1.59638032E+00
-18.55000E-03,+8.00408298E+00,-1.59037373E+00
-18.52500E-03,+8.18133643E+00,-1.61051349E+00
-18.50000E-03,+8.37154529E+00,-1.58903893E+00
-18.47500E-03,+8.54173216E+00,-1.59991361E+00
-18.45000E-03,+8.72291150E+00,-1.60466393E+00
-18.42500E-03,+8.90095013E+00,-1.56414885E+00
-18.40000E-03,+9.07113701E+00,-1.58746858E+00
-18.37500E-03,+9.24642752E+00,-1.61129866E+00
-18.35000E-03,+9.42996239E+00,-1.57019471E+00
-18.32500E-03,+9.59700855E+00,-1.58617304E+00
-18.30000E-03,+9.77386942E+00,-1.58762561E+00
-18.27500E-03,+9.95387099E+00,-1.55676820E+00
-18.25000E-03,+10.11895422E+00,-1.62782662E+00
-18.22500E-03,+10.31034085E+00,-1.55437341E+00
-18.20000E-03,+10.49858677E+00,-1.54632536E+00
-18.17500E-03,+10.66288482E+00,-1.59272925E+00
-18.15000E-03,+10.85898250E+00,-1.57655463E+00
-18.12500E-03,+11.05292094E+00,-1.55606154E+00
-18.10000E-03,+11.23351139E+00,-1.58197234E+00
-18.07500E-03,+11.41527961E+00,-1.55790670E+00
-18.05000E-03,+11.59272936E+00,-1.56870287E+00
-18.02500E-03,+11.76821617E+00,-1.55590451E+00
-18.00000E-03,+11.95430286E+00,-1.59877511E+00
-17.97500E-03,+12.14117472E+00,-1.51295539E+00
-17.95000E-03,+12.30684683E+00,-1.58197234E+00
-17.92500E-03,+12.48822246E+00,-1.54652165E+00
-17.90000E-03,+12.66802774E+00,-1.54287059E+00
-17.87500E-03,+12.84057014E+00,-1.55598302E+00
-17.85000E-03,+13.02803088E+00,-1.53148554E+00
-17.82500E-03,+13.20037699E+00,-1.53957285E+00
-17.80000E-03,+13.35976769E+00,-1.58778265E+00
-17.77500E-03,+13.56195048E+00,-1.47530620E+00
-17.75000E-03,+13.71113390E+00,-1.54946606E+00
-17.72500E-03,+13.88053560E+00,-1.51982567E+00
-17.70000E-03,+14.06721117E+00,-1.50895099E+00
-17.67500E-03,+14.23857580E+00,-1.51876569E+00
-17.65000E-03,+14.41425891E+00,-1.50950061E+00
-17.62500E-03,+14.60270112E+00,-1.45151537E+00
-17.60000E-03,+14.76052147E+00,-1.50518214E+00
-17.57500E-03,+14.92776394E+00,-1.50463252E+00
-17.55000E-03,+15.10756921E+00,-1.43993403E+00
-17.52500E-03,+15.27736350E+00,-1.43153265E+00
-17.50000E-03,+15.43655791E+00,-1.39557159E+00
-17.47500E-03,+15.59339679E+00,-1.33519157E+00
-17.45000E-03,+15.72825075E+00,-1.23979270E+00
-17.42500E-03,+15.86624541E+00,-1.13752354E+00
-17.40000E-03,+15.99324761E+00,-933.57411E-03
-17.37500E-03,+16.07569108E+00,-923.60238E-03
-17.35000E-03,+16.16598631E+00,-718.43592E-03
-17.32500E-03,+16.24254096E+00,-515.15389E-03
-17.30000E-03,+16.28533304E+00,-366.99120E-03
-17.27500E-03,+16.32105854E+00,-220.43813E-03
-17.25000E-03,+16.33990277E+00,-58.96671E-03
-17.22500E-03,+16.32576960E+00,-22.92714E-03
-17.20000E-03,+16.34186571E+00,+293.49874E-03
-17.17500E-03,+16.29455886E+00,+339.82412E-03
-17.15000E-03,+16.23586696E+00,+490.89195E-03
-17.12500E-03,+16.17776395E+00,+622.36965E-03
-17.10000E-03,+16.10238706E+00,+742.14823E-03
-17.07500E-03,+16.02033618E+00,+853.01507E-03
-17.05000E-03,+15.92415213E+00,+952.10426E-03
-17.02500E-03,+15.80716093E+00,+997.17336E-03
-17.00000E-03,+15.69488078E+00,+1.07176506E+00
-16.97500E-03,+15.57612292E+00,+1.15452260E+00
-16.95000E-03,+15.43538015E+00,+1.20972046E+00
-16.92500E-03,+15.29188925E+00,+1.23017430E+00
-16.90000E-03,+15.14682801E+00,+1.29569722E+00
-16.87500E-03,+14.98861507E+00,+1.31811399E+00
-16.85000E-03,+14.84689082E+00,+1.35018843E+00
-16.82500E-03,+14.68730382E+00,+1.42069722E+00
-16.80000E-03,+14.50612449E+00,+1.34249370E+00
-16.77500E-03,+14.35694107E+00,+1.43121858E+00
-16.75000E-03,+14.18616531E+00,+1.45508792E+00
-16.72500E-03,+14.01597844E+00,+1.45116204E+00
-16.70000E-03,+13.84893227E+00,+1.48068466E+00
-16.67500E-03,+13.67933428E+00,+1.49685928E+00
-16.65000E-03,+13.50188453E+00,+1.46081971E+00
-16.62500E-03,+13.35230852E+00,+1.56513032E+00
-16.60000E-03,+13.17603654E+00,+1.47408918E+00
-16.57500E-03,+12.99623126E+00,+1.53796324E+00
-16.55000E-03,+12.82859621E+00,+1.51209169E+00
-16.52500E-03,+12.65193163E+00,+1.54640388E+00
-16.50000E-03,+12.47251894E+00,+1.53439069E+00
-16.47500E-03,+12.30233207E+00,+1.55119345E+00
-16.45000E-03,+12.12193791E+00,+1.53855212E+00
-16.42500E-03,+11.94252522E+00,+1.55798522E+00
-16.40000E-03,+11.76114959E+00,+1.52622486E+00
-16.37500E-03,+11.59645895E+00,+1.61758007E+00
-16.35000E-03,+11.39996868E+00,+1.52025752E+00
-16.32500E-03,+11.23174475E+00,+1.58366047E+00
-16.30000E-03,+11.04428401E+00,+1.56846732E+00
-16.27500E-03,+10.84936409E+00,+1.56925250E+00
-16.25000E-03,+10.66582923E+00,+1.56878139E+00
-16.22500E-03,+10.48013513E+00,+1.60097360E+00
-16.20000E-03,+10.29287068E+00,+1.55637561E+00
-16.17500E-03,+10.12288010E+00,+1.59166927E+00
-16.15000E-03,+9.94268224E+00,+1.57765388E+00
-16.12500E-03,+9.75875479E+00,+1.58350344E+00
-16.10000E-03,+9.59877520E+00,+1.58951003E+00
-16.07500E-03,+9.42211063E+00,+1.58071606E+00
-16.05000E-03,+9.23955723E+00,+1.59422109E+00
-16.02500E-03,+9.06819260E+00,+1.57914571E+00
-16.00000E-03,+8.88269479E+00,+1.59374998E+00
-15.97500E-03,+8.71211533E+00,+1.59406405E+00
-15.95000E-03,+8.53878776E+00,+1.59123742E+00
-15.92500E-03,+8.36251577E+00,+1.59673365E+00
-15.90000E-03,+8.17211062E+00,+1.59374998E+00
-15.87500E-03,+7.99367940E+00,+1.57624056E+00
-15.85000E-03,+7.82192217E+00,+1.65122486E+00
-15.82500E-03,+7.62072085E+00,+1.52233824E+00
-15.80000E-03,+7.45210433E+00,+1.65342335E+00
-15.77500E-03,+7.26915835E+00,+1.58962781E+00
-15.75000E-03,+7.09563448E+00,+1.60160174E+00
-15.72500E-03,+6.92446613E+00,+1.60022768E+00
-15.70000E-03,+6.74309051E+00,+1.60615576E+00
-15.67500E-03,+6.54463730E+00,+1.59594848E+00
-15.65000E-03,+6.36149502E+00,+1.60560614E+00
-15.62500E-03,+6.15813447E+00,+1.59747957E+00
-15.60000E-03,+5.98539578E+00,+1.64996858E+00
-15.57500E-03,+5.80048685E+00,+1.56320664E+00
-15.55000E-03,+5.62107416E+00,+1.63512875E+00
-15.52500E-03,+5.43008013E+00,+1.59374998E+00
-15.50000E-03,+5.24418974E+00,+1.61259420E+00
-15.47500E-03,+5.06183264E+00,+1.62225187E+00
-15.45000E-03,+4.87358672E+00,+1.59304332E+00
-15.42500E-03,+4.68907039E+00,+1.61577417E+00
-15.40000E-03,+4.50769476E+00,+1.64054646E+00
-15.37500E-03,+4.30080091E+00,+1.55354898E+00
-15.35000E-03,+4.13159551E+00,+1.66551506E+00
-15.32500E-03,+3.93039419E+00,+1.59532033E+00
-15.30000E-03,+3.73900757E+00,+1.61165199E+00
-15.27500E-03,+3.56312817E+00,+1.61679489E+00
-15.25000E-03,+3.37704148E+00,+1.60340765E+00
-15.22500E-03,+3.19625474E+00,+1.64423679E+00
-15.20000E-03,+3.00643847E+00,+1.58778265E+00
-15.17500E-03,+2.81583702E+00,+1.62087781E+00
-15.15000E-03,+2.63151698E+00,+1.61644157E+00
