Tempo(s),Canal 1(V),Canal 2(V)
-25.00000E-03,-1.60819722E+00,-986.65200E-03
-24.97500E-03,-1.65230526E+00,-1.02486808E+00
-24.95000E-03,-1.69386305E+00,-1.06471733E+00
-24.92500E-03,-1.73645099E+00,-1.10658919E+00
-24.90000E-03,-1.78128767E+00,-1.14579773E+00
-24.87500E-03,-1.82440325E+00,-1.18520728E+00
-24.85000E-03,-1.86787059E+00,-1.22740577E+00
-24.82500E-03,-1.91529521E+00,-1.27165200E+00
-24.80000E-03,-1.96062185E+00,-1.31766959E+00
-24.77500E-03,-2.00673994E+00,-1.35846105E+00
-24.75000E-03,-2.04864948E+00,-1.40197864E+00
-24.72500E-03,-2.09049622E+00,-1.44545854E+00
-24.70000E-03,-2.13323491E+00,-1.48593592E+00
-24.67500E-03,-2.17655149E+00,-1.52773241E+00
-24.65000E-03,-2.21059672E+00,-1.56378768E+00
-24.62500E-03,-2.24337310E+00,-1.59695351E+00
-24.60000E-03,-2.27319723E+00,-1.62957914E+00
-24.57500E-03,-2.31076004E+00,-1.66449120E+00
-24.55000E-03,-2.35020727E+00,-1.69802135E+00
-24.52500E-03,-2.38607411E+00,-1.73284547E+00
-24.50000E-03,-2.42277008E+00,-1.76900125E+00
-24.47500E-03,-2.46616205E+00,-1.81073492E+00
-24.45000E-03,-2.50641330E+00,-1.84861180E+00
-24.42500E-03,-2.54185300E+00,-1.88344848E+00
-24.40000E-03,-2.57374998E+00,-1.91436557E+00
-24.37500E-03,-2.61039572E+00,-1.95147613E+00
-24.35000E-03,-2.65652637E+00,-1.99006909E+00
-24.32500E-03,-2.69706657E+00,-2.03230527E+00
-24.30000E-03,-2.72803391E+00,-2.06441582E+00
-24.27500E-03,-2.76548366E+00,-2.09819723E+00
-24.25000E-03,-2.80756908E+00,-2.13872486E+00
-24.22500E-03,-2.83792085E+00,-2.16999371E+00
-24.20000E-03,-2.87520728E+00,-2.20155150E+00
-24.17500E-03,-2.90829772E+00,-2.23533290E+00
-24.15000E-03,-2.94150124E+00,-2.26491833E+00
-24.12500E-03,-2.97760677E+00,-2.30166457E+00
-24.10000E-03,-3.01544597E+00,-2.33920225E+00
-24.07500E-03,-3.04420225E+00,-2.36509422E+00
-24.05000E-03,-3.07476757E+00,-2.39719220E+00
-24.02500E-03,-3.10675249E+00,-2.43184044E+00
-24.00000E-03,-3.13960425E+00,-2.46504396E+00
-23.97500E-03,-3.16810929E+00,-2.49548366E+00
-23.95000E-03,-3.19961681E+00,-2.52671480E+00
-23.92500E-03,-3.22361178E+00,-2.54805904E+00
-23.90000E-03,-3.24873741E+00,-2.57734296E+00
-23.87500E-03,-3.28037059E+00,-2.60581029E+00
-23.85000E-03,-3.30173993E+00,-2.62646356E+00
-23.82500E-03,-3.32381280E+00,-2.64390074E+00
-23.80000E-03,-3.35182787E+00,-2.67241833E+00
-23.77500E-03,-3.37131279E+00,-2.68756908E+00
-23.75000E-03,-3.38269472E+00,-2.70336054E+00
-23.72500E-03,-3.41268215E+00,-2.72863693E+00
-23.70000E-03,-3.43509420E+00,-2.75034547E+00
-23.67500E-03,-3.44932786E+00,-2.76387561E+00
-23.65000E-03,-3.47461684E+00,-2.78895101E+00
-23.62500E-03,-3.50248115E+00,-2.81793341E+00
-23.60000E-03,-3.52513189E+00,-2.83941580E+00
-23.57500E-03,-3.54624999E+00,-2.86079774E+00
-23.55000E-03,-3.57511933E+00,-2.88519471E+00
-23.52500E-03,-3.59964195E+00,-2.91082286E+00
-23.50000E-03,-3.62258164E+00,-2.93583541E+00
-23.47500E-03,-3.64440325E+00,-2.95941582E+00
-23.45000E-03,-3.66951633E+00,-2.98547111E+00
-23.42500E-03,-3.69510676E+00,-3.01053390E+00
-23.40000E-03,-3.71329772E+00,-3.02867463E+00
-23.37500E-03,-3.73602387E+00,-3.05392587E+00
-23.35000E-03,-3.76287058E+00,-3.08004396E+00
-23.32500E-03,-3.78224245E+00,-3.10081029E+00
-23.30000E-03,-3.79822234E+00,-3.11513189E+00
-23.27500E-03,-3.82297110E+00,-3.13996859E+00
-23.25000E-03,-3.84814698E+00,-3.16579773E+00
-23.22500E-03,-3.86484295E+00,-3.18261933E+00
-23.20000E-03,-3.88423995E+00,-3.20029521E+00
-23.17500E-03,-3.90471732E+00,-3.21862434E+00
-23.15000E-03,-3.92273237E+00,-3.23356156E+00
-23.12500E-03,-3.93734294E+00,-3.25109923E+00
-23.10000E-03,-3.95333540E+00,-3.26621230E+00
-23.07500E-03,-3.97184043E+00,-3.28452887E+00
-23.05000E-03,-3.98902634E+00,-3.29944091E+00
-23.02500E-03,-4.00288314E+00,-3.31201631E+00
-23.00000E-03,-4.01824746E+00,-3.32880022E+00
-22.97500E-03,-4.03361179E+00,-3.34364949E+00
-22.95000E-03,-4.04251880E+00,-3.35493090E+00
-22.92500E-03,-4.05228014E+00,-3.36293340E+00
-22.90000E-03,-4.06528263E+00,-3.37533288E+00
-22.87500E-03,-4.07352385E+00,-3.38420224E+00
-22.85000E-03,-4.08145099E+00,-3.39342335E+00
-22.82500E-03,-4.09514442E+00,-3.39975500E+00
-22.80000E-03,-4.09898866E+00,-3.40863691E+00
-22.77500E-03,-4.10506906E+00,-3.41215449E+00
-22.75000E-03,-4.11498112E+00,-3.42339821E+00
-22.72500E-03,-4.12563439E+00,-3.43166452E+00
-22.70000E-03,-4.13362434E+00,-3.43984294E+00
-22.67500E-03,-4.14331024E+00,-3.44966705E+00
-22.65000E-03,-4.15083539E+00,-3.45706655E+00
-22.62500E-03,-4.16045851E+00,-3.46623741E+00
-22.60000E-03,-4.16861176E+00,-3.47460424E+00
-22.57500E-03,-4.17567208E+00,-3.48234295E+00
-22.55000E-03,-4.18200372E+00,-3.48972989E+00
-22.52500E-03,-4.18662682E+00,-3.49420221E+00
-22.50000E-03,-4.18671478E+00,-3.49199118E+00
-22.47500E-03,-4.18692835E+00,-3.49736809E+00
-22.45000E-03,-4.19416454E+00,-3.50209169E+00
-22.42500E-03,-4.19994343E+00,-3.50834796E+00
-22.40000E-03,-4.19950373E+00,-3.50523239E+00
-22.37500E-03,-4.20153890E+00,-3.50744344E+00
-22.35000E-03,-4.20696606E+00,-3.51611176E+00
-22.32500E-03,-4.21244344E+00,-3.51969215E+00
-22.30000E-03,-4.21341076E+00,-3.52173991E+00
-22.27500E-03,-4.21803390E+00,-3.52413942E+00
-22.25000E-03,-4.21975500E+00,-3.52534544E+00
-22.22500E-03,-4.22150121E+00,-3.52520725E+00
-22.20000E-03,-4.21969217E+00,-3.52555903E+00
-22.17500E-03,-4.21868712E+00,-3.52622484E+00
-22.15000E-03,-4.22338564E+00,-3.52898867E+00
-22.12500E-03,-4.22346101E+00,-3.52949117E+00
-22.10000E-03,-4.22746856E+00,-3.53320975E+00
-22.07500E-03,-4.22978011E+00,-3.53425248E+00
-22.05000E-03,-4.22863690E+00,-3.53614947E+00
-22.02500E-03,-4.23256905E+00,-3.53609918E+00
-22.00000E-03,-4.23501881E+00,-3.54016957E+00
-21.97500E-03,-4.23661426E+00,-3.54372483E+00
-21.95000E-03,-4.23951627E+00,-3.54425249E+00
-21.92500E-03,-4.24421476E+00,-3.54905147E+00
-21.90000E-03,-4.24450372E+00,-3.54917713E+00
-21.87500E-03,-4.24450375E+00,-3.55135048E+00
-21.85000E-03,-4.24868714E+00,-3.55591077E+00
-21.82500E-03,-4.25192834E+00,-3.55841079E+00
-21.80000E-03,-4.25377508E+00,-3.56000625E+00
-21.77500E-03,-4.25446604E+00,-3.56163939E+00
-21.75000E-03,-4.25643840E+00,-3.56397608E+00
-21.72500E-03,-4.26054644E+00,-3.56602381E+00
-21.70000E-03,-4.26147611E+00,-3.56640074E+00
-21.67500E-03,-4.26533288E+00,-3.56935299E+00
-21.65000E-03,-4.26410169E+00,-3.56980523E+00
-21.62500E-03,-4.26504394E+00,-3.56969219E+00
-21.60000E-03,-4.26641327E+00,-3.57034544E+00
-21.57500E-03,-4.26606153E+00,-3.56903892E+00
-21.55000E-03,-4.26619970E+00,-3.57248114E+00
-21.52500E-03,-4.26839822E+00,-3.57303389E+00
-21.50000E-03,-4.26686552E+00,-3.57000625E+00
-21.47500E-03,-4.27001879E+00,-3.57302132E+00
-21.45000E-03,-4.26648865E+00,-3.57324745E+00
-21.42500E-03,-4.26770724E+00,-3.57444091E+00
-21.40000E-03,-4.26775749E+00,-3.57241830E+00
-21.37500E-03,-4.26912686E+00,-3.57339821E+00
-21.35000E-03,-4.26862431E+00,-3.57282031E+00
-21.32500E-03,-4.26769470E+00,-3.57158917E+00
-21.30000E-03,-4.26701628E+00,-3.57270725E+00
-21.27500E-03,-4.26475499E+00,-3.57136300E+00
-21.25000E-03,-4.26523233E+00,-3.56768213E+00
-21.22500E-03,-4.26322229E+00,-3.56878766E+00
-21.20000E-03,-4.26083538E+00,-3.56545849E+00
-21.17500E-03,-4.25705397E+00,-3.56248111E+00
-21.15000E-03,-4.25558412E+00,-3.56089817E+00
-21.12500E-03,-4.25241828E+00,-3.55668966E+00
-21.10000E-03,-4.24985549E+00,-3.55564692E+00
-21.07500E-03,-4.24795850E+00,-3.55170222E+00
-21.05000E-03,-4.24288311E+00,-3.54603636E+00
-21.02500E-03,-4.23848610E+00,-3.54233033E+00
-21.00000E-03,-4.23043335E+00,-3.53583534E+00
-20.97500E-03,-4.21853637E+00,-3.52444090E+00
-20.95000E-03,-4.21240569E+00,-3.51490570E+00
-20.92500E-03,-4.19864937E+00,-3.50401373E+00
-20.90000E-03,-4.18645093E+00,-3.48803385E+00
-20.87500E-03,-4.16259409E+00,-3.46655141E+00
-20.85000E-03,-4.14266949E+00,-3.44624986E+00
-20.82500E-03,-4.10604886E+00,-3.41136295E+00
-20.80000E-03,-4.08078507E+00,-3.38587300E+00
-20.77500E-03,-4.06197853E+00,-3.37024491E+00
-20.75000E-03,-4.04010669E+00,-3.34632529E+00
-20.72500E-03,-4.00890065E+00,-3.31776999E+00
-20.70000E-03,-3.98582276E+00,-3.29082275E+00
-20.67500E-03,-3.96709157E+00,-3.27383780E+00
-20.65000E-03,-3.94516951E+00,-3.25297101E+00
-20.62500E-03,-3.91912679E+00,-3.22471725E+00
-20.60000E-03,-3.90173989E+00,-3.20779517E+00
-20.57500E-03,-3.88271974E+00,-3.19212934E+00
-20.55000E-03,-3.86127505E+00,-3.17146344E+00
-20.52500E-03,-3.83936550E+00,-3.14941574E+00
-20.50000E-03,-3.82421473E+00,-3.13275746E+00
-20.47500E-03,-3.80895089E+00,-3.11995595E+00
-20.45000E-03,-3.78798359E+00,-3.09794594E+00
-20.42500E-03,-3.76671479E+00,-3.07470470E+00
-20.40000E-03,-3.75199113E+00,-3.06078509E+00
-20.37500E-03,-3.73834790E+00,-3.04764441E+00
-20.35000E-03,-3.71881270E+00,-3.02784539E+00
-20.32500E-03,-3.69815948E+00,-3.00520726E+00
-20.30000E-03,-3.68148859E+00,-2.98985544E+00
-20.27500E-03,-3.66942834E+00,-2.97633787E+00
-20.25000E-03,-3.65317202E+00,-2.95932780E+00
-20.22500E-03,-3.63155145E+00,-2.94064689E+00
-20.20000E-03,-3.61421477E+00,-2.92020725E+00
-20.17500E-03,-3.59980522E+00,-2.90508160E+00
-20.15000E-03,-3.58422728E+00,-2.89091076E+00
-20.12500E-03,-3.56102378E+00,-2.86466697E+00
-20.10000E-03,-3.53857404E+00,-2.84293333E+00
-20.07500E-03,-3.52768210E+00,-2.83059668E+00
-20.05000E-03,-3.50695339E+00,-2.81194081E+00
-20.02500E-03,-3.48032021E+00,-2.78711670E+00
-20.00000E-03,-3.46246851E+00,-2.76868714E+00
-19.97500E-03,-3.44264437E+00,-2.74902629E+00
-19.95000E-03,-3.41991826E+00,-2.73116199E+00
-19.92500E-03,-3.40709161E+00,-2.71532024E+00
-19.90000E-03,-3.39008155E+00,-2.70101121E+00
-19.87500E-03,-3.36592322E+00,-2.67854891E+00
-19.85000E-03,-3.34435287E+00,-2.65696598E+00
-19.82500E-03,-3.32412676E+00,-2.64059663E+00
-19.80000E-03,-3.30378758E+00,-2.61975486E+00
-19.77500E-03,-3.28234286E+00,-2.59908907E+00
-19.75000E-03,-3.25895085E+00,-2.57754382E+00
-19.72500E-03,-3.23092323E+00,-2.55111168E+00
-19.70000E-03,-3.20377501E+00,-2.52359915E+00
-19.67500E-03,-3.17623727E+00,-2.49631270E+00
-19.65000E-03,-3.13676492E+00,-2.45646339E+00
-19.62500E-03,-3.09004380E+00,-2.40712920E+00
-19.60000E-03,-3.04318443E+00,-2.35462919E+00
-19.57500E-03,-2.98820959E+00,-2.30178999E+00
-19.55000E-03,-2.93060900E+00,-2.24378748E+00
-19.52500E-03,-2.87308399E+00,-2.19101111E+00
-19.50000E-03,-2.81636285E+00,-2.13790813E+00
-19.47500E-03,-2.75327238E+00,-2.08019451E+00
-19.45000E-03,-2.69623723E+00,-2.02285785E+00
-19.42500E-03,-2.64396336E+00,-1.97068449E+00
-19.40000E-03,-2.58554632E+00,-1.91401366E+00
-19.37500E-03,-2.53250607E+00,-1.86542065E+00
-19.35000E-03,-2.48805890E+00,-1.82533280E+00
-19.32500E-03,-2.44318452E+00,-1.78039558E+00
-19.30000E-03,-2.39706639E+00,-1.73315939E+00
-19.27500E-03,-2.35803375E+00,-1.70068451E+00
-19.25000E-03,-2.32145085E+00,-1.66271978E+00
-19.22500E-03,-2.28217951E+00,-1.62464187E+00
-19.20000E-03,-2.25161420E+00,-1.59592328E+00
-19.17500E-03,-2.22109915E+00,-1.56410165E+00
-19.15000E-03,-2.18499355E+00,-1.52771970E+00
-19.12500E-03,-2.15241824E+00,-1.49607401E+00
-19.10000E-03,-2.12261925E+00,-1.46819711E+00
-19.07500E-03,-2.08932775E+00,-1.43361163E+00
-19.05000E-03,-2.06508159E+00,-1.40785796E+00
-19.02500E-03,-2.03880013E+00,-1.38009408E+00
-19.00000E-03,-2.00292071E+00,-1.34871220E+00
-18.97500E-03,-1.97065944E+00,-1.31775739E+00
-18.95000E-03,-1.94445344E+00,-1.29133783E+00
-18.92500E-03,-1.92377506E+00,-1.27098610E+00
-18.90000E-03,-1.89475484E+00,-1.24633783E+00
-18.87500E-03,-1.86026997E+00,-1.20851119E+00
-18.85000E-03,-1.82078500E+00,-1.17336034E+00
-18.82500E-03,-1.78739306E+00,-1.14309657E+00
-18.80000E-03,-1.75145082E+00,-1.10868697E+00
-18.77500E-03,-1.71026984E+00,-1.07057145E+00
-18.75000E-03,-1.66535781E+00,-1.02685280E+00
-18.72500E-03,-1.61663922E+00,-981.65182E-03
-18.70000E-03,-1.56765675E+00,-935.10661E-03
-18.67500E-03,-1.51694068E+00,-888.23471E-03
-18.65000E-03,-1.46430247E+00,-836.46334E-03
-18.62500E-03,-1.40656376E+00,-785.14423E-03
-18.60000E-03,-1.35179001E+00,-733.58646E-03
-18.57500E-03,-1.30348597E+00,-685.89801E-03
-18.55000E-03,-1.26123717E+00,-643.68693E-03
-18.52500E-03,-1.21230505E+00,-597.33022E-03
-18.50000E-03,-1.17182767E+00,-560.89811E-03
-18.47500E-03,-1.12728001E+00,-522.14183E-03
-18.45000E-03,-1.09593573E+00,-494.75482E-03
-18.42500E-03,-1.05638799E+00,-457.06640E-03
-18.40000E-03,-1.01434027E+00,-422.43078E-03
-18.37500E-03,-989.54133E-03,-402.48107E-03
-18.35000E-03,-955.91066E-03,-371.50109E-03
-18.32500E-03,-923.76238E-03,-342.26746E-03
-18.30000E-03,-892.40559E-03,-316.23728E-03
-18.27500E-03,-859.02629E-03,-287.51872E-03
-18.25000E-03,-822.26741E-03,-259.20213E-03
-18.22500E-03,-786.58906E-03,-226.36302E-03
-18.20000E-03,-747.00364E-03,-194.25238E-03
-18.17500E-03,-707.63180E-03,-165.42077E-03
-18.15000E-03,-664.90559E-03,-135.32020E-03
-18.12500E-03,-622.33019E-03,-107.56895E-03
-18.10000E-03,-581.06137E-03,-79.22733E-03
-18.07500E-03,-540.72215E-03,-56.51373E-03
-18.05000E-03,-498.22218E-03,-39.66703E-03
-18.02500E-03,-458.13426E-03,-33.02135E-03
-18.00000E-03,-420.00614E-03,-27.22985E-03
-17.97500E-03,-387.88296E-03,-24.66709E-03
-17.95000E-03,-350.25737E-03,-25.65963E-03
-17.92500E-03,-318.80010E-03,-24.96859E-03
-17.90000E-03,-287.44339E-03,-24.79271E-03
-17.87500E-03,-255.05639E-03,-25.53393E-03
-17.85000E-03,-223.18447E-03,-22.74502E-03
-17.82500E-03,-187.80768E-03,-24.96859E-03
-17.80000E-03,-155.59660E-03,-24.94347E-03
-17.77500E-03,-119.85545E-03,-25.74748E-03
-17.75000E-03,-81.81516E-03,-25.34546E-03
-17.72500E-03,-48.80012E-03,-25.10679E-03
-17.70000E-03,-12.40564E-03,-25.87309E-03
-17.67500E-03,+21.58935E-03,-25.20727E-03
-17.65000E-03,+55.70996E-03,-25.47116E-03
-17.62500E-03,+94.12699E-03,-25.28266E-03
-17.60000E-03,+130.55922E-03,-25.57162E-03
-17.57500E-03,+164.70494E-03,-25.29521E-03
-17.55000E-03,+199.69250E-03,-25.82284E-03
-17.52500E-03,+238.67482E-03,-25.18215E-03
-17.50000E-03,+270.25770E-03,-25.28266E-03
-17.47500E-03,+310.23265E-03,-27.12944E-03
-17.45000E-03,+356.07437E-03,-25.06909E-03
-17.42500E-03,+397.49390E-03,-25.11934E-03
-17.40000E-03,+429.17728E-03,-24.17709E-03
-17.37500E-03,+463.97638E-03,-24.96856E-03
-17.35000E-03,+502.70745E-03,-22.60685E-03
-17.32500E-03,+541.06169E-03,-24.96859E-03
-17.30000E-03,+573.31051E-03,-25.40826E-03
-17.27500E-03,+608.07181E-03,-24.03900E-03
-17.25000E-03,+640.73509E-03,-25.59676E-03
-17.22500E-03,+675.24513E-03,-25.28266E-03
-17.20000E-03,+706.92849E-03,-28.74993E-03
-17.17500E-03,+734.37830E-03,-24.96859E-03
-17.15000E-03,+762.26777E-03,-26.53894E-03
-17.12500E-03,+792.49388E-03,-25.15704E-03
-17.10000E-03,+819.29033E-03,-26.25004E-03
-17.07500E-03,+847.55670E-03,-26.18716E-03
-17.05000E-03,+878.38579E-03,-25.87311E-03
-17.02500E-03,+905.37072E-03,-26.53894E-03
-17.00000E-03,+934.76765E-03,-26.53898E-03
-16.97500E-03,+963.57422E-03,-23.47356E-03
-16.95000E-03,+997.51896E-03,-27.34295E-03
-16.92500E-03,+1.03001895E+00,-24.42842E-03
-16.90000E-03,+1.06217981E+00,-26.63946E-03
-16.87500E-03,+1.09689090E+00,-27.16704E-03
-16.85000E-03,+1.13616224E+00,-26.65203E-03
-16.82500E-03,+1.17319736E+00,-27.29274E-03
-16.80000E-03,+1.21214209E+00,-26.27518E-03
-16.77500E-03,+1.25460445E+00,-26.08666E-03
-16.75000E-03,+1.29261956E+00,-26.53898E-03
-16.72500E-03,+1.33557175E+00,-24.99373E-03
-16.70000E-03,+1.37631303E+00,-28.59932E-03
-16.67500E-03,+1.41645121E+00,-26.77769E-03
-16.65000E-03,+1.45741853E+00,-24.27767E-03
-16.62500E-03,+1.50147626E+00,-27.54389E-03
-16.60000E-03,+1.54300898E+00,-26.47610E-03
-16.57500E-03,+1.58342360E+00,-24.98124E-03
-16.55000E-03,+1.63099892E+00,-25.48362E-03
-16.52500E-03,+1.67662712E+00,-25.57156E-03
-16.50000E-03,+1.72113712E+00,-28.36057E-03
-16.47500E-03,+1.77030803E+00,-24.54150E-03
-16.45000E-03,+1.81402661E+00,-25.05654E-03
-16.42500E-03,+1.86024509E+00,-25.16958E-03
-16.40000E-03,+1.90084817E+00,-27.17964E-03
-16.37500E-03,+1.94387588E+00,-25.15705E-03
-16.35000E-03,+1.98844862E+00,-25.67205E-03
-16.32500E-03,+2.03025774E+00,-25.13190E-03
-16.30000E-03,+2.06658942E+00,-27.07912E-03
-16.27500E-03,+2.10315973E+00,-28.74996E-03
-16.25000E-03,+2.13049647E+00,-25.59674E-03
-16.22500E-03,+2.16715472E+00,-26.73992E-03
-16.20000E-03,+2.20251898E+00,-26.13696E-03
-16.17500E-03,+2.23888838E+00,-28.27262E-03
-16.15000E-03,+2.27504418E+00,-25.50881E-03
-16.12500E-03,+2.31359936E+00,-27.41833E-03
-16.10000E-03,+2.35224262E+00,-27.70724E-03
-16.07500E-03,+2.38723014E+00,-25.52137E-03
-16.05000E-03,+2.42210448E+00,-26.01135E-03
-16.02500E-03,+2.45920248E+00,-26.38814E-03
-16.00000E-03,+2.50109946E+00,-29.05151E-03
-15.97500E-03,+2.54628792E+00,-28.12183E-03
-15.95000E-03,+2.58348636E+00,-28.76257E-03
-15.92500E-03,+2.61481798E+00,-25.38314E-03
-15.90000E-03,+2.65426535E+00,-25.88562E-03
-15.87500E-03,+2.69192865E+00,-25.91073E-03
-15.85000E-03,+2.72338585E+00,-26.73999E-03
-15.82500E-03,+2.75675266E+00,-28.59926E-03
-15.80000E-03,+2.79226780E+00,-28.04641E-03
-15.77500E-03,+2.82282044E+00,-27.69478E-03
-15.75000E-03,+2.85807170E+00,-25.78512E-03
-15.72500E-03,+2.88568477E+00,-26.65200E-03
-15.70000E-03,+2.90868724E+00,-25.28266E-03
-15.67500E-03,+2.93684056E+00,-26.08674E-03
-15.65000E-03,+2.96784568E+00,-27.64445E-03
-15.62500E-03,+2.99638833E+00,-25.91085E-03
-15.60000E-03,+3.02104917E+00,-28.96363E-03
-15.57500E-03,+3.04856177E+00,-26.96609E-03
-15.55000E-03,+3.07770741E+00,-28.54896E-03
-15.52500E-03,+3.10508165E+00,-27.80771E-03
-15.50000E-03,+3.13005667E+00,-27.98369E-03
-15.47500E-03,+3.15174003E+00,-27.69466E-03
-15.45000E-03,+3.17182800E+00,-23.68707E-03
-15.42500E-03,+3.19508171E+00,-29.46612E-03
-15.40000E-03,+3.22199133E+00,-27.79523E-03
-15.37500E-03,+3.24952901E+00,-28.61176E-03
-15.35000E-03,+3.26901394E+00,-27.55654E-03
-15.32500E-03,+3.29132554E+00,-29.23991E-03
-15.30000E-03,+3.32125021E+00,-26.73989E-03
-15.27500E-03,+3.34907675E+00,-28.87558E-03
